Archivo;Tamaño(K);Cant Palabras Inicial;Cant Palabras depuradas;Vocabulario Inicial;Vocabulario Final
1504.06320.txt;63;9276;8727;1811;1129
1506.00552.txt;77;15129;11754;1595;966
1201.2845.txt;48;7990;6532;1468;920
1507.05880.txt;146;27105;21797;1980;1167
1309.3014.txt;49;10120;6774;1313;814
1403.1642.txt;93;18232;14533;1858;1088
0803.2570.txt;133;25674;20790;2058;1219
1507.06616.txt;88;18853;13691;1525;892
1403.4539.txt;12;2056;1801;649;417
1412.1538.txt;29;5708;4642;992;649
1410.3764.txt;37;7757;5798;1078;666
1506.00366.txt;37;5532;5133;1434;924
1509.09188.txt;85;18054;11839;1557;1065
1310.6398.txt;28;5133;4537;904;539
1505.03931.txt;95;19971;15206;1825;1165
1412.6761.txt;59;10933;9003;1271;811
1308.0776.txt;212;40946;33252;2225;1219
1506.01978.txt;48;8171;7010;1527;1005
1511.03501.txt;72;14250;10595;1546;926
1404.2743.txt;81;16804;13200;1352;812
1502.05507.txt;48;9748;7025;1049;667
0910.2912.txt;105;17508;15118;1747;1009
1103.1091.txt;23;4721;3706;732;455
1101.5460.txt;74;11153;10452;2138;1205
1511.08861.txt;51;8481;7447;1580;1006
1502.01187.txt;81;15579;10689;1327;808
1508.03837.txt;8;1489;1301;405;251
1508.02521.txt;17;2776;2672;784;474
1509.03784.txt;52;11831;8374;906;540
1312.0461.txt;122;22349;19484;2945;1641
1306.4664.txt;33;6300;4599;961;578
1411.5735.txt;64;12314;9032;1534;938
1510.07380.txt;122;20692;17816;2674;1543
1407.3975.txt;24;4734;3386;759;492
1411.0440.txt;195;29143;26855;5459;3320
1509.04634.txt;89;14359;12678;2181;1329
1305.0750.txt;100;19308;17488;1583;918
1510.02787.txt;82;14754;11451;1445;879
1511.06653.txt;61;9733;8828;1915;1144
1508.00217.txt;57;9107;7938;1582;1005
0910.5577.txt;38;7465;5763;1258;796
1505.02213.txt;135;25192;21067;2011;1136
1307.7087.txt;81;16728;12666;1387;805
1503.03605.txt;64;11999;8549;1400;902
1504.07959.txt;158;32603;25050;1749;992
1104.4465.txt;105;20549;16463;1705;1015
1509.08979.txt;109;19924;16495;2121;1279
1204.3850.txt;94;16813;15102;1780;1011
1503.02951.txt;108;19487;16194;2233;1272
1103.1980.txt;39;8108;5978;683;375
1105.1302.txt;47;7953;6822;1255;766
1209.1711.txt;41;6948;6284;1826;1247
1407.3556.txt;40;7770;6225;1007;606
1507.01239.txt;22;3435;3055;1050;706
1505.02921.txt;28;4383;3742;1100;711
1211.2384.txt;76;15920;11684;1088;684
1306.0760.txt;71;11276;10122;2191;1357
1407.7459.txt;13;2667;1837;514;336
1504.00169.txt;61;13222;8687;1111;672
0903.2923.txt;48;9483;7333;1206;742
1408.3877.txt;140;34376;21607;2153;1341
1508.01775.txt;53;8923;8182;1571;919
1403.2975.txt;134;27671;20124;1670;968
1307.2559.txt;83;16474;12898;1571;896
1401.1061.txt;100;17137;15245;2091;1220
1508.03878.txt;40;7373;4731;1026;661
1505.06362.txt;109;22284;16732;1800;1035
1509.03476.txt;40;7202;6053;1190;731
0911.1509.txt;25;3742;3465;1170;806
1509.06357.txt;101;20629;16221;1451;810
1503.00941.txt;91;19538;14394;1618;944
1504.06544.txt;163;30119;23147;2658;1580
1508.03401.txt;87;15608;13601;1545;976
1301.1027.txt;66;13259;9671;1532;981
1408.6923.txt;23;3573;3311;929;583
1504.07766.txt;70;12310;10812;1889;1149
1408.6321.txt;45;8115;7144;1172;681
1507.03403.txt;44;8745;7618;1183;740
1505.04938.txt;37;6517;5520;1391;892
1407.2506.txt;31;5210;4642;1182;749
1201.0490.txt;15;2163;1971;898;646
1412.5831.txt;68;13147;10710;1967;1213
1501.06654.txt;98;19009;15460;1987;1195
1302.2279.txt;40;8002;5886;842;500
1406.5688.txt;53;7921;7122;1686;1016
1410.0736.txt;44;7028;6322;1445;933
0903.0197.txt;22;3852;3373;730;438
1507.05014.txt;65;12841;9107;1234;759
1406.6924.txt;18;3519;2598;618;411
1507.06576.txt;52;10413;8245;1012;583
1510.07424.txt;21;3947;3021;646;372
1504.06043.txt;49;9619;7285;1081;674
1408.6771.txt;55;9754;9004;1375;816
1312.0233.txt;22;4344;3420;723;448
1308.0801.txt;29;5197;4205;834;529
1411.6907.txt;28;4205;3564;960;598
1302.1211.txt;29;6937;4120;597;369
1505.02214.txt;141;23448;19749;2148;1231
1502.07331.txt;52;9224;7495;1556;1025
1510.03271.txt;123;22653;18350;2331;1301
1405.4472.txt;50;9473;7852;1253;760
1506.00768.txt;41;6165;5764;1495;937
1503.01239.txt;80;14083;10020;1810;1155
1109.0345.txt;40;7196;6400;1189;759
1411.3444.txt;18;3410;2931;790;543
1403.0505.txt;178;35103;24942;2497;1474
1509.06191.txt;135;28954;18668;1716;1019
1510.01429.txt;35;7117;5648;763;454
1406.4426.txt;39;6723;6153;1020;633
1003.1628.txt;30;5398;3720;768;510
1502.05767.txt;122;17942;15821;3574;2407
1407.2524.txt;54;10611;8649;997;621
1501.04147.txt;122;23610;18415;2521;1550
1310.0441.txt;25;3917;3680;920;569
1411.7895.txt;58;9853;6870;1547;1010
